,Close,High,Low,Open,Volume
2018-07-17,38469.07031,38762.72734,38259.31529,38720.77633,8892953
2018-07-18,39056.37891,39601.74188,38972.47691,39182.2319,10952645
2018-07-19,39350.03516,39601.74114,39098.32917,39475.88815,9880128
2018-07-20,39811.50391,39937.35692,39182.23883,39433.94486,10474547
2018-07-23,39014.43359,39601.74765,38720.77657,39517.84564,10823782
2018-07-24,38720.76953,39098.3285,38552.96555,38888.57352,8261363
2018-07-25,38720.76953,39056.3775,38511.01455,38804.67152,7222471
2018-07-26,39350.03516,39433.93715,38594.91721,38678.8192,7374946
2018-07-27,39350.03516,39433.93715,38972.47618,38972.47618,4762460
2018-07-30,39014.43359,39266.13962,38888.58058,39056.3846,5723035
2018-07-31,38804.67578,38972.47978,38594.92078,38762.72478,8033607
2018-08-01,39056.37891,39308.08489,38636.86893,38636.86893,7484499
2018-08-02,38217.35938,39266.13433,38175.40838,39056.37934,8560924
2018-08-03,38385.16406,38511.01706,38133.45807,38469.06606,8274944
2018-08-06,38427.11328,38720.77026,38385.16228,38720.77026,6771979
2018-08-07,39182.24219,39224.1932,38511.02605,38846.63412,9058174
2018-08-08,39266.12891,39433.93288,39056.37394,39433.93288,6429338
2018-08-09,39350.03516,39475.88815,38972.47618,39433.93715,12010886
2018-08-10,38091.50781,38930.52781,37630.04681,38720.77281,16670643
2018-08-13,37797.85938,37839.81038,37462.2513,37713.95736,9803831
2018-08-14,37881.75391,38091.50891,37630.0479,37630.0479,6409259
2018-08-16,37126.62891,37462.23685,36665.16798,36749.06997,10088229
2018-08-17,37000.77734,37252.48331,36958.82635,36958.82635,6808747
2018-08-20,36791.02734,37084.68435,36497.37034,36497.37034,7289124
2018-08-21,37588.08984,37671.99183,36665.16799,36665.16799,9520270
2018-08-22,38678.82031,38762.72231,37671.99636,37881.75135,11641656
2018-08-23,38762.72266,38762.72266,38343.21267,38720.77166,6730918
2018-08-24,38720.76953,38930.52451,38217.35758,38511.01455,6582535
2018-08-27,38846.62891,39056.38392,38594.92289,38678.82489,5263782
2018-08-28,39056.37891,39391.98689,38846.62392,39266.1339,7365976
2018-08-29,39266.12891,39266.12891,38930.52097,39224.17791,5572374
2018-08-30,39979.29297,40230.99891,39182.22417,39391.97912,12193231
2018-08-31,40650.52344,40650.52344,39433.9443,39517.84631,13577454
2018-09-03,39811.50391,40524.67099,39685.65089,40440.76898,8595084
2018-09-04,39979.29297,40105.14594,39601.73406,39895.39099,6791255
2018-09-05,39098.32422,39811.49108,38930.52025,39685.6381,9139998
2018-09-06,38678.82031,38930.5263,38427.11432,38762.72231,9040553
2018-09-07,37672,37923.70601,37252.48998,37336.39198,18285508
2018-09-10,38175.41406,38217.36507,37755.90402,38133.46306,9979838
2018-09-11,37797.85938,38511.02653,37797.85938,38217.36947,9865790
2018-09-12,37378.33203,37839.79292,37336.38104,37671.98896,12995269
2018-09-13,36958.82813,37546.14208,36916.87713,37378.33809,18277942
2018-09-14,38469.07031,38469.07031,37672.00124,37755.90325,12446344
2018-09-17,37881.75391,38427.11692,37671.9989,38217.36191,8123384
2018-09-18,38175.41406,38511.0221,37504.19799,37713.95301,9987090
2018-09-19,38720.76953,38762.72053,38343.21057,38594.91654,9367454
2018-09-20,39643.69531,39937.35231,38930.52831,39308.08731,13536966
2018-09-21,39769.54688,39895.39987,39056.3799,39056.3799,14476906
2018-09-27,40153.32031,40153.32031,39265.7206,39688.38713,15804586
2018-09-28,39265.73047,39941.99709,39138.93048,39941.99709,11270515
2018-10-01,39181.20313,39561.60316,38716.26975,39265.73647,6354983
2018-10-02,38631.73047,39477.06374,38631.73047,39265.73042,6607188
2018-10-04,37786.39844,38547.19841,37786.39844,38166.79842,11865327
2018-10-05,37786.39844,38462.66508,37659.59844,37870.93177,10544165
2018-10-08,37997.73047,38209.06379,37363.73052,37363.73052,6759464
2018-10-10,38293.59766,38462.66431,37617.33103,38251.33099,10341349
2018-10-11,36433.85938,37744.12578,36433.85938,37194.65922,19324537
2018-10-12,37194.65625,37744.12276,36518.38977,36518.38977,12640906
2018-10-15,37025.58984,37236.92312,36645.18995,37236.92312,7434522
2018-10-16,36856.52734,37321.4606,36645.19404,36941.06066,6825677
2018-10-17,37321.46094,37617.32756,37194.66096,37321.46094,8306193
2018-10-18,37236.92969,37575.06299,36941.06305,37152.39636,8347725
2018-10-19,37110.12109,37321.45436,36729.72122,37110.12109,7842520
2018-10-22,36814.26172,37152.39501,36518.39509,36729.7284,8357648
2018-10-23,36391.60547,36729.73885,35968.93874,36602.93883,9531231
2018-10-24,35968.92969,36433.86297,35715.32971,36391.59631,13522825
2018-10-25,34658.66016,35123.5934,34278.26023,34320.52689,19338170
2018-10-26,34658.66016,34912.26011,34151.46025,34743.19347,14413864
2018-10-29,34996.79688,35461.73017,34278.26361,34531.86358,14460521
2018-10-30,35799.85547,36349.32196,34658.65583,34996.78905,14205190
2018-10-31,35842.12109,36645.18749,35250.38796,36264.78762,17621480
2018-11-01,35630.79688,36307.06348,35630.79688,35884.39685,13423132
2018-11-02,37321.46094,37405.99426,36180.26111,36391.59441,16517112
2018-11-05,37025.58984,37025.58984,36264.79005,36983.32319,9426777
2018-11-06,36983.32422,37025.59088,36307.05772,36983.32422,7713625
2018-11-07,37194.65625,37617.3228,36687.45639,36856.52301,11553998
2018-11-08,37236.92969,38082.26294,37236.92969,37955.46295,12617397
2018-11-09,37448.25781,37913.19104,37110.12456,37575.05778,7318500
2018-11-12,38209.05469,38251.32134,36941.05509,37067.85505,8552566
2018-11-13,37617.32422,37617.32422,36687.45778,37110.12434,9311126
2018-11-14,37279.19922,37617.33254,37025.59922,37617.33254,6783344
2018-11-15,37405.98438,37490.51767,36771.98464,37236.91778,5864067
2018-11-16,37194.65625,37828.65607,36941.05632,37701.85611,7777124
2018-11-19,36898.79688,37405.99683,36729.73022,37236.93018,7538720
2018-11-20,36180.26172,36349.32836,35588.52847,35884.39509,9420664
2018-11-21,35588.53125,35757.59791,35334.93126,35334.93126,10769589
2018-11-22,35884.39844,36053.4651,35503.99845,35503.99845,5970796
2018-11-23,35842.12109,36011.1877,35419.45457,35884.38775,5192638
2018-11-26,36011.19141,36180.25803,35588.52484,35630.7915,6613009
2018-11-27,36391.60547,36433.87214,35926.67207,36264.80545,8367091
2018-11-28,36476.12891,36518.39557,36137.99561,36180.26228,6943099
2018-11-29,36476.12891,37067.86217,36264.7956,37067.86217,8473511
2018-11-30,35377.19922,37194.66585,35292.66589,36729.73252,19775519
2018-12-03,36560.66406,36687.46405,35842.13078,36137.99743,12110702
2018-12-04,35630.79688,36264.79682,35419.46356,36053.4635,14347746
2018-12-05,35039.0625,35292.66247,34531.86256,34574.12922,12631983
2018-12-06,34235.99219,34743.19207,34193.72553,34320.5255,14251826
2018-12-07,34616.39844,34996.79842,34531.86511,34574.13177,11433083
2018-12-10,33982.40234,34362.80237,33813.33567,34193.73569,14892263
2018-12-11,34024.66797,34405.06798,33982.4013,34320.53465,10638766
2018-12-12,34193.73047,34405.06378,33940.13049,34024.66382,12024279
2018-12-13,33813.33594,34447.33599,33813.33594,34362.80265,26254646
2018-12-14,32925.73047,33982.39704,32714.39715,33982.39704,19671783
2018-12-17,33094.79688,33475.19684,32672.13025,32672.13025,11532968
2018-12-18,32883.46484,33137.06483,32376.26487,32376.26487,11042101
2018-12-19,33052.52734,33263.86064,32841.19405,32883.46071,9942037
2018-12-20,32672.125,33052.5249,32545.32503,32629.85834,11937617
2018-12-21,32672.125,32672.125,32207.19179,32291.7251,14947080
2018-12-24,32798.92969,33010.263,32376.26307,32545.32972,9729530
2018-12-26,32418.52344,32756.65667,32376.25678,32460.79009,12707675
2018-12-27,32635.24414,33104.50909,32507.26279,33019.18819,10510643
2018-12-28,33019.1875,33189.8293,32592.58301,32635.24346,9900267
2019-01-02,33061.84375,33616.42952,32891.20198,33616.42952,7847664
2019-01-03,32080.6582,32891.20675,31952.67685,32677.9045,12471493
2019-01-04,31952.67969,32080.66105,31440.75425,31952.67969,14108958
2019-01-07,33061.84375,33189.82508,32251.29532,32421.9371,12748997
2019-01-08,32507.26172,33445.79158,32379.28037,32421.94082,12756554
2019-01-09,33787.06641,33787.06641,32677.89503,32976.5181,17452708
2019-01-10,33957.72266,34256.34585,33787.08083,34128.36448,14731699
2019-01-11,34554.96094,34597.62138,34085.69604,34426.9796,11661063
2019-01-14,34171.02344,34725.60934,34000.38162,34512.30707,11984996
2019-01-15,35066.89063,35066.89063,34000.37935,34171.02116,11492756
2019-01-16,35365.51563,35365.51563,34725.60883,35109.55291,8491595
2019-01-17,35792.12109,35920.10246,35365.51655,35578.81882,11736903
2019-01-18,36090.73828,36176.05918,35792.11515,35834.7756,11029256
2019-01-21,36474.67969,36474.67969,35749.45214,36432.01924,11355701
2019-01-22,35962.76172,36560.00806,35706.799,36474.68715,9964356
2019-01-23,35834.78125,36048.08352,35280.19535,35280.19535,11071079
2019-01-24,36730.64844,36773.30889,36133.40212,36730.64844,14747623
2019-01-25,38181.10547,38181.10547,37327.89641,37797.16139,22789395
2019-01-28,38437.05859,38821.00258,38053.11461,38394.39815,17998914
2019-01-29,38821.00781,38821.00781,37839.81751,38437.06378,16215017
2019-01-30,39588.89453,39588.89453,38223.76024,38223.76024,17505980
2019-01-31,39375.58984,40143.47784,39375.58984,39802.19428,21621145
2019-02-01,39546.23438,40058.15974,39460.91348,39802.19706,13832454
2019-02-07,39418.25391,40186.14197,39418.25391,39930.17928,15872001
2019-02-08,38223.76563,38991.65377,38095.78427,38991.65377,12689196
2019-02-11,38394.40234,38394.40234,37754.49564,37967.79787,11125044
2019-02-12,39290.27344,39460.91523,38095.78087,38095.78087,13184367
2019-02-13,39418.25391,39844.85839,39247.61211,39588.8957,11299738
2019-02-14,40527.42578,40527.42578,39375.59368,39759.53771,17259341
2019-02-15,39290.27344,39972.84062,38948.98985,39887.51972,10554643
2019-02-18,39418.25391,39972.83973,39119.63077,39674.21659,8183728
2019-02-19,39204.95313,39375.59492,38778.34863,39119.63223,6741395
2019-02-20,40015.5,40186.14179,39674.21642,39887.51866,11506720
2019-02-21,40058.16797,40271.47025,39418.26113,39674.22387,8694009
2019-02-22,40228.8125,40228.8125,39631.56608,39674.22654,6895772
2019-02-25,40399.44141,40570.08319,40143.47874,40442.10185,7484716
2019-02-26,39887.52734,40484.77374,39674.22506,40399.45283,7985547
2019-02-27,39887.52734,40314.13191,39887.52734,40100.82963,8045211
2019-02-28,38479.72656,39674.21918,38479.72656,39588.89828,23569321
2019-03-04,38266.41797,39332.92906,38223.75753,39247.60817,12926539
2019-03-05,37754.49609,38479.7237,37669.1752,38053.11923,10612405
2019-03-06,37541.19922,37797.16194,37285.2365,37541.19922,10202544
2019-03-07,37925.14453,38351.74908,37029.27498,37029.27498,11049749
2019-03-08,37370.55859,38223.76769,37370.55859,37925.14451,7729069
2019-03-11,37242.56641,37925.13349,37242.56641,37882.47305,10717408
2019-03-12,38095.77734,38351.74001,37669.17289,37797.15423,11431977
2019-03-13,37413.21484,37925.14025,37285.23349,37754.49845,8108343
2019-03-14,37413.21484,37797.1589,37157.25214,37285.23349,18039161
2019-03-15,37711.82813,37754.48856,37285.22373,37370.54461,16814163
2019-03-18,37285.24219,37669.18633,37071.93989,37498.54449,8188876
2019-03-19,37455.875,37455.875,37157.25185,37327.89365,7609563
2019-03-20,37583.85547,37711.83682,36773.30694,37370.55322,9846242
2019-03-21,39119.62891,39460.91247,37583.85285,38053.11776,21138016
2019-03-22,39716.875,40100.81901,39460.91233,39972.83767,12535911
2019-03-25,38821.00781,38948.98916,38223.76154,38650.36602,8699728
2019-03-26,38607.70703,38991.65108,38309.08388,38821.00928,9729811
2019-03-27,38693.02734,38906.32959,37754.49746,38181.10195,9568081
2019-03-28,38567.48047,38868.453,38094.52363,38653.47262,6821306
2019-03-29,38395.50391,38610.48433,38008.53914,38266.51565,11491713
2019-04-01,38739.46875,39083.4374,38567.48443,38868.45699,7362129
2019-04-02,39341.41406,39642.38663,38997.44541,39169.42974,9480688
2019-04-03,40072.33984,40201.32806,39384.40268,40201.32806,12436570
2019-04-04,40373.30859,40502.2968,39685.37149,39685.37149,12650168
2019-04-05,40287.3125,40889.2574,40072.33218,40373.30463,8546339
2019-04-08,40115.32813,40631.2809,39685.36748,40631.2809,8507909
