Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2018-02-08,38031.5234375,38544.12223165761,38014.987992527174,38130.73610733696,23251050
2018-02-09,36956.71484375,37353.56547294463,36725.21864338646,36741.754086269575,17465000
2018-02-12,37800.00390625,38296.066949639106,37237.79912374234,37287.405428081256,15754950
2018-02-13,39304.7421875,39734.66364180164,38196.86767064577,38196.86767064577,18923250
2018-02-14,40511.828125,40594.50532525511,39635.44980229592,39751.19788265306,18905900
2018-02-19,39999.234375,41173.25076219512,39569.31288109756,41173.25076219512,15353450
2018-02-20,39188.9921875,39817.33889767933,39040.17322982595,39718.12625922996,10122600
2018-02-21,39089.78125,39337.81285691624,38726.00155985618,39089.78125,12880200
2018-02-22,38659.84375,39073.22958992729,38659.84375,39073.22958992729,8869950
2018-02-23,39040.17578125,39519.70356509424,38659.86064233905,38659.86064233905,12423300
2018-02-26,39172.4609375,39321.27991109118,38924.429314848036,39089.78372994935,9560650
2018-02-27,39172.4609375,39999.233013006546,39172.4609375,39982.697571496414,9830550
2018-02-28,38907.890625,39767.73351174033,38858.28430461113,39172.45766707395,15162350
2018-03-02,38048.05078125,38692.932997881355,38031.515339797916,38511.04314190841,13265500
2018-03-05,37370.09765625,38163.79884540929,37270.88500760509,37882.696340915376,14100950
2018-03-06,38874.8203125,38940.962073984476,37882.69389023288,37965.37109208847,15423350
2018-03-07,40197.65234375,40429.148490526015,39040.17160986991,39850.40812358597,21427050
2018-03-08,40677.17578125,40908.67190358232,39751.19129192073,40677.17578125,19463650
2018-03-09,41123.640625,41785.058246632485,40710.25461147969,40875.609016887815,14304400
2018-03-12,41123.640625,41983.483533122235,40991.3571006735,41801.5936871733,8688950
2018-03-13,42711.04296875,42711.04296875,41636.23933229288,41966.94814351045,20098700
2018-03-14,42793.71875,42992.1440301391,42165.372029559505,42181.907469571095,12713250
2018-03-15,42611.82421875,43008.67473533905,42181.90282577852,42992.13929714784,8882450
2018-03-16,42281.125,42512.62118693782,41537.030113414155,42347.26676769652,12184900
2018-03-19,41950.41015625,42446.47334296167,41702.37856289417,41851.19751890767,8218850
2018-03-20,42330.71875,42330.71875,41421.26971435547,41917.33282470703,8193250
2018-03-21,42214.9765625,42810.25237771739,42214.9765625,42810.25237771739,8905200
2018-03-22,42810.25390625,42810.25390625,42198.4426298764,42214.978069778386,8454100
2018-03-23,41107.1015625,41933.873516693486,41007.888927996784,41619.700174099955,14854950
2018-03-26,41570.08984375,41570.08984375,40544.892719520685,40859.06603178451,10057750
2018-03-27,41322.06640625,41718.91698398109,40577.9715730042,41603.16889880952,11874000
2018-03-28,40263.80078125,40594.50961723563,39966.162828862936,40594.50961723563,15159450
2018-03-29,40841.7734375,41274.84281326468,40242.13891721044,40558.612691807706,10067000
2018-03-30,40991.67578125,41557.99718578576,40875.08019796322,40875.08019796322,7777100
2018-04-02,40425.359375,40991.680849557066,40392.04634708488,40808.4591960239,7115650
2018-04-03,40075.57421875,40092.230733387885,39376.000603958855,39875.69604309539,12768250
2018-04-04,39076.1796875,40192.16606391197,39076.1796875,40108.8834985081,12384200
2018-04-05,40591.9375,41124.946117152234,39425.98114997948,39475.9507078375,13245600
2018-04-06,40308.75390625,40458.66249515754,39475.92841231921,39975.62370867768,12532700
2018-04-09,40975.02734375,41174.90552591463,40142.20158473069,40192.171130271854,9950400
2018-04-10,40708.51953125,40991.68026448701,40008.94595501739,40425.358798012996,10984350
2018-04-11,40691.87109375,41558.009979085655,40475.33637241609,41558.009979085655,10051100
2018-04-12,40808.4609375,41174.90426020408,40708.52184948979,41174.90426020408,12466250
2018-04-13,41474.72265625,41791.19644358685,41141.59235379016,41308.157505020084,10278300
2018-04-16,41924.453125,42140.98784515296,41524.69671856376,41907.79660806515,7877450
2018-04-17,41624.640625,42091.02315301121,41491.388474139654,41841.175370148056,7772000
2018-04-18,42773.93359375,42773.93359375,42124.32946206922,42474.116302205024,13462600
2018-04-19,43956.55078125,44123.11596041351,42923.84667043624,43306.94658251231,17190550
2018-04-20,42990.46875,43523.47727382797,42823.90358630376,43140.37739732662,11761000
2018-04-23,43223.65625,43373.56488439306,42474.11307803468,42474.11307803468,11619000
2018-04-24,42024.38671875,43190.342751374854,41707.912938466114,43173.68623662307,15770300
2018-04-25,41974.4140625,42057.69663008433,40991.67976500496,40991.67976500496,16614600
2018-04-26,43423.53125,43440.187763713075,41974.41455696202,41991.071070675105,18046550
2018-04-27,44139.75390625,44672.7622553066,43673.37160082548,44456.227613502364,30310800
2018-04-30,44139.75390625,44139.75390625,44139.75390625,44139.75390625,0
2018-05-02,44139.75390625,44139.75390625,44139.75390625,44139.75390625,0
2018-05-03,44139.75390625,44139.75390625,44139.75390625,44139.75390625,0
2018-05-04,43223.65625,44889.307743256264,43140.373675337185,44139.76457129094,39565391
2018-05-08,43806.64453125,44306.34009624524,43223.666372088876,43806.64453125,23104720
2018-05-09,42390.83203125,43973.20100687623,42390.83203125,43806.63585154715,16128305
2018-05-10,42973.81640625,43057.09899618459,42140.99050690407,43057.09899618459,13905263
2018-05-11,42723.96484375,43473.50808662281,42640.682261208574,43306.94292153996,10314997
2018-05-14,41724.58203125,42557.40801989771,41558.01683352046,42474.125421032935,14909272
2018-05-15,40975.02734375,41974.418254573175,40891.744767848075,41807.85310276931,18709146
2018-05-16,41516.359375,41807.848357572715,40933.38140985456,40975.022693079234,15918683
2018-05-17,41141.58203125,42057.690133160424,41141.58203125,41891.12502372217,10365440
2018-05-18,41224.87109375,41558.001365214644,41099.94724195076,41558.001365214644,6706570
2018-05-21,41641.28515625,41807.850296875,40891.7420234375,41349.79616015625,9020998
