Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2022-02-15,68140.078125,68602.35816655359,67585.34207513569,68509.90215824287,9320365
2022-02-16,69157.1015625,69249.55758063168,68602.36545370989,68972.18952623663,10767386
2022-02-17,69341.984375,69896.72025,68879.70447916667,69341.984375,13605382
2022-02-18,68694.8125,69157.09253028264,68140.07646366084,68972.18051816958,10122226
2022-02-21,68694.8125,68694.8125,68694.8125,68694.8125,0
2022-02-22,68694.8125,68694.8125,68694.8125,68694.8125,0
2022-02-23,68694.8125,68694.8125,68694.8125,68694.8125,0
2022-02-24,66106.0546875,66845.70285183567,65921.14264641608,66845.70285183567,15759283
2022-02-25,66475.859375,67123.05132997218,66475.859375,66660.77136213491,13168484
2022-02-28,66475.859375,66475.859375,66475.859375,66475.859375,0
2022-03-02,66290.9609375,66938.15302475593,66106.04891256973,66845.6970122908,12481430
2022-03-03,67400.4296875,67585.34170310356,66753.23763288753,66845.69364068931,13232638
2022-03-04,67400.4296875,67400.4296875,67400.4296875,67400.4296875,0
2022-03-07,64811.66015625,65273.94018589515,64626.748144391946,64719.20415032097,18617138
2022-03-08,64256.9296875,64719.20975719425,63517.28157598921,63609.73758992806,15828269
2022-03-10,64256.9296875,64256.9296875,64256.9296875,64256.9296875,0
2022-03-11,64719.20703125,65366.3991015625,64441.83900111607,65181.48708147321,15787655
2022-03-14,64904.11328125,64904.11328125,64349.37727029915,64719.201277599714,9040993
2022-03-15,64904.11328125,64904.11328125,64904.11328125,64904.11328125,0
2022-03-16,65089.03515625,65181.49117209695,64441.84304532138,64904.123124556114,10175750
2022-03-17,65089.03515625,65089.03515625,65089.03515625,65089.03515625,0
2022-03-18,65366.390625,65551.30262111033,64904.11063472419,65273.934626944836,14410038
2022-03-21,64626.73828125,65643.75419125536,64626.73828125,65551.2981994367,11169002
2022-03-22,64996.57421875,65181.48623644203,64626.75018336593,64626.75018336593,9402666
2022-03-23,65181.4765625,65828.6685283688,64996.56457225177,65273.93255762412,12398025
2022-03-24,64534.30078125,64996.580872806226,64349.388744627504,64349.388744627504,37943357
2022-03-25,64534.30078125,64904.124854494985,64349.388744627504,64811.66883618374,12986010
2022-03-28,64441.828125,64626.74011388092,63979.5481527977,64256.916136119085,12619289
2022-03-29,64904.11328125,64996.56928307514,64534.289273949435,64719.201277599714,13686208
2022-03-30,64960.796875,65518.400281652364,64867.86297389128,65332.53247943491,12670187
2022-03-31,64682.01171875,65239.61526804957,64682.01171875,64960.813493399786,12510366
2022-04-01,64217.3359375,64589.07160139291,64124.402021526774,64589.07160139291,15916846
2022-04-04,64403.2109375,64403.2109375,63752.67345328283,64031.47523223304,11107905
2022-04-05,64310.2578125,64681.99340679191,64217.32391392702,64496.125609645955,8467248
2022-04-06,63659.73828125,63938.540054744524,63659.73828125,63752.672205748175,15517308
2022-04-07,63195.05859375,63659.728142233456,63195.05859375,63659.728142233456,20683327
2022-04-08,63009.1875,63473.85702433628,62916.253595132745,63287.98921460177,15453191
2022-04-11,63102.1328125,63288.000655835785,62637.46320416053,63009.19889083211,12263735
2022-04-12,62265.71875,62916.256110074624,62265.71875,62823.322201492534,13924389
2022-04-13,63845.59765625,64124.39939274017,62451.588973799124,62544.52288596251,17378619
2022-04-14,62730.390625,63845.59756944444,62730.390625,63845.59756944444,16409494
2022-04-15,61893.98828125,62544.52569561749,61801.05436491179,62451.59177927928,13176415
2022-04-18,61986.91796875,62358.653608742505,61429.31450876125,61801.05014875375,10119203
2022-04-19,62544.53125,63195.06872213967,62265.72947622585,62358.66340081723,12959434
2022-04-20,62637.45703125,62637.45703125,61801.05181866654,62265.72138121291,16693293
2022-04-21,62916.25390625,63473.85733821086,62730.38609559638,62823.32000092319,12847448
2022-04-22,62265.71875,62544.52047574627,61986.91702425373,62451.58656716418,11791478
2022-04-25,61615.1875,61986.923171191556,61615.1875,61801.055335595775,11016474
2022-04-26,61429.3203125,61986.9238251702,61429.3203125,61708.122068835095,12946923
2022-04-27,60407.046875,60871.71646634615,60314.112956730765,60778.78254807692,18122084
2022-04-28,60221.17578125,60871.71317394869,59942.37404152199,60778.77926070602,16895527
2022-04-29,62637.45703125,62823.32485626855,60407.04313102745,60499.977043536725,26190390
2022-05-02,62544.53125,62823.33302377414,61801.05985326894,61893.99377786032,14106184
2022-05-03,62730.390625,63566.79583333333,62544.52280092592,62637.456712962965,14168875
2022-05-04,63102.1328125,63566.80242083947,62730.39712582842,63195.06673416789,11505248
2022-05-06,61801.05078125,62358.65424694549,61801.05078125,62265.720335996244,14356156
2022-05-10,61057.58984375,61615.19340396689,60685.85413693874,61243.45769715563,17235605
2022-05-11,61057.58984375,61615.19340396689,60592.92021023592,60871.72199034437,12330920
2022-05-12,60314.1015625,60871.704966775804,60314.1015625,60592.903264637906,16414188
2022-05-13,61801.05078125,61986.9186031485,60592.909938909776,60685.843849859026,14551536
2022-05-16,61615.1875,62637.46059577677,61429.319664404225,62358.658842383105,11937555
2022-05-17,62823.32421875,63102.125953448594,61893.985103088016,61893.985103088016,15680447
2022-05-18,63287.99609375,63845.59958356277,62823.32651890602,63473.86392368759,16486319
2022-05-19,62730.390625,62823.324537037035,61801.05150462963,61801.05150462963,17073727
2022-05-20,63195.05859375,63566.79423253676,62916.256864659925,63009.19077435662,12109671
2022-05-23,63102.1328125,63938.53810751104,62823.331047496315,63938.53810751104,13684088
2022-05-24,61801.05078125,62916.25771264098,61801.05078125,62730.38989074248,15482576
2022-05-25,61708.11328125,62358.65062005836,61243.44375352975,61986.91499788216,15150490
2022-05-26,61243.4453125,62451.58611532625,60871.70968086115,61615.18094413885,15970890
2022-05-27,61801.05078125,62172.786425046994,61522.24904840226,61986.9186031485,11405555
2022-05-30,62916.25390625,63009.187811576805,62172.782663635524,62730.38609559638,14255484
2022-05-31,62637.45703125,62730.390943759274,61986.91964368509,62730.390943759274,24365002
2022-06-02,61986.91796875,62265.71969874438,61708.116238755625,61893.98405875188,14959443
2022-06-03,62079.8515625,62544.5211101235,62079.8515625,62451.5872005988,8222883
2022-06-07,60871.70703125,61708.112166030536,60778.773127385495,61522.24435830153,19355755
2022-06-08,60685.84765625,61057.583323363324,60685.84765625,60778.78157302833,12483180
2022-06-09,60592.9140625,60592.9140625,59942.376641583585,60499.980145226225,25790725
2022-06-10,59291.8359375,59849.43941026646,59291.8359375,59477.70376175549,22193552
2022-06-13,57711.95703125,58362.49438909018,57711.95703125,57990.758756038646,22157816
2022-06-14,57526.0859375,57804.88764640549,56782.61471375202,56875.548616720516,24606419
2022-06-15,56410.88671875,57154.35804288509,55946.217141165565,56968.49021185131,26811224
2022-06-16,56596.75,57433.15517241379,56225.01436781609,56968.4856321839,23394895
2022-06-17,55574.47265625,55667.40655701296,55202.73705319816,55202.73705319816,29053450
2022-06-20,54552.203125,55667.41000319421,53994.5996859029,55574.47609667802,34111306
2022-06-21,54366.3359375,55016.87329059829,54087.53421474359,54552.20375267094,25148109
2022-06-22,53529.9296875,54923.938273111984,53529.9296875,54831.004367404516,23334687
2022-06-23,53344.0625,53901.66594076655,52786.45905923345,53622.86422038328,28338608
2022-06-24,54273.40625,54923.943653681505,53622.868846318495,53808.73667594178,23256103
2022-06-27,54645.140625,55667.41366390306,54180.47106186224,54831.0084502551,18122236
2022-06-28,55202.73828125,55295.67218408039,54552.20096143729,55016.870475589225,13540538
2022-06-29,54231.25390625,54979.27120150862,54231.25390625,54698.76471578664,14677138
2022-06-30,53296.23828125,53857.25131578947,53296.23828125,53483.242626096486,18915142
